Adam,Allison,April,Eve,Fraser,Peter,Naomi,Sarah,Adam_mother_ir,Allison_mother_ir,April_mother_ir,Eve_mother_ir,Fraser_mother_ir,Naomi_mother_ir,Peter_mother_ir,Sarah_mother_ir,Adam_ir,April_ir,Allison_ir,Eve_ir,Fraser_ir,Naomi_ir,Peter_ir,Sarah_ir,Adam_mother,Allison_mother,April_mother,Eve_mother,Fraser_mother,Naomi_mother,Peter_mother,Sarah_mother
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,4,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,4,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,1
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,