converb,count,rank
go,813,1
put,374,2
see,288,3
get,278,4
want,244,5
do,196,6
take,188,7
have,186,8
come,185,9
write,170,10
look,164,11
le,118,12
sit,116,13
,104,14
read,103,15
fell,96,16
happen,94,17
break,91,18
let,86,19
turn,82,20
drop,78,21
know,75,22
eat,74,23
find,74,24
hit,73,25
hurt,64,26
wan,63,27
make,59,28
need,52,29
like,49,30
fit,49,31
ride,46,32
play,45,33
wear,44,34
give,42,35
pick,42,36
pull,42,37
fix,41,38
throw,38,39
say,37,40
blow,31,41
fall,30,42
cry,28,43
open,28,44
walk,27,45
bite,27,46
push,27,47
check,26,48
keep,26,49
watch,25,50
draw,25,51
cut,25,52
miss,24,53
lose,23,54
climb,23,55
b,23,56
wake,23,57
tire,22,58
laugh,22,59
catch,22,60
wait,21,61
listen,21,62
sleep,20,63
shop,20,64
dance,20,65
move,20,66
stay,19,67
talk,18,68
drink,18,69
sing,18,70
fight,17,71
meow,17,72
touch,17,73
show,17,74
piece,16,75
finish,15,76
roll,15,77
hear,14,78
excuse,13,79
bring,13,80
stop,13,81
stand,13,82
bumble,12,83
press,12,84
hop,11,85
paint,11,86
wheel,11,87
boot,11,88
stir,11,89
chug,11,90
think,11,91
screw,10,92
kick,10,93
tell,10,94
hold,10,95
fly,10,96
stick,10,97
frighten,9,98
peek,9,99
save,9,100
use,9,101
bum,9,102
camp,9,103
fee,9,104
hand,9,105
leave,8,106
help,8,107
pounce,8,108
dog,8,109
fold,8,110
love,8,111
number,8,112
no,8,113
matter,8,114
din,7,115
spill,7,116
work,7,117
jump,7,118
chew,7,119
shoot,7,120
busy,7,121
tie,7,122
kiss,6,123
dig,6,124
march,6,125
gi,6,126
rain,6,127
swim,6,128
welcome,6,129
knock,6,130
tattoo,6,131
set,6,132
tease,6,133
pant,5,134
fasten,5,135
name,5,136
run,5,137
trick,5,138
try,5,139
peekaboo,5,140
carry,5,141
burn,5,142
close,5,143
call,5,144
skedaddle,5,145
house,5,146
dress,5,147
drive,5,148
op,4,149
taste,4,150
rock,4,151
sag,4,152
tickle,4,153
toy,4,154
saw,4,155
mix,4,156
milk,4,157
buy,4,158
dump,4,159
mess,4,160
dirty,4,161
fish,4,162
change,4,163
shame,3,164
shin,3,165
wash,3,166
shave,3,167
point,3,168
pop,3,169
beat,3,170
feel,3,171
hang,3,172
rope,3,173
frank,3,174
brush,3,175
build,3,176
care,3,177
ready,3,178
toot_toot,3,179
sun,3,180
eye,3,181
hug,3,182
cook,3,183
kid,3,184
live,3,185
step,3,186
pickle,3,187
d,3,188
spank,3,189
tape,3,190
slip,3,191
drip,3,192
jingle,3,193
zip,3,194
moon,3,195
swing,2,196
cup,2,197
stock,2,198
exercise,2,199
felt,2,200
time,2,201
scoot,2,202
spit,2,203
dip,2,204
send,2,205
shell,2,206
dry,2,207
zipper,2,208
rid,2,209
pen,2,210
pocket,2,211
wrench,2,212
knife,2,213
wipe,2,214
pack,2,215
page,2,216
whisper,2,217
part,2,218
jabber,2,219
train,2,220
pinch,2,221
pipe,2,222
crack,2,223
box,2,224
program,2,225
grow,2,226
puzzle,2,227
gob,2,228
belt,1,229
copy,1,230
type,1,231
cool,1,232
count,1,233
tear,1,234
truck,1,235
back,1,236
bumb,1,237
baby,1,238
wrong,1,239
bag,1,240
tel,1,241
clown,1,242
clean,1,243
wen,1,244
clock,1,245
thank,1,246
bake,1,247
chain,1,248
block,1,249
bat,1,250
beard,1,251
bless,1,252
chatter,1,253
warm,1,254
belong,1,255
bump,1,256
moo,1,257
string,1,258
reach,1,259
goin,1,260
punch,1,261
pump,1,262
hammer,1,263
pretend,1,264
pour,1,265
hap,1,266
plug,1,267
holler,1,268
picture,1,269
hurry,1,270
pay,1,271
pat,1,272
parrot,1,273
kn,1,274
ouch,1,275
manage,1,276
nose,1,277
match,1,278
ask,1,279
mine,1,280
gobble,1,281
rest,1,282
crop,1,283
glo,1,284
dan,1,285
dare,1,286
squeeze,1,287
squeal,1,288
squeak,1,289
sock,1,290
snow,1,291
snack,1,292
smoke,1,293
doin,1,294
size,1,295
face,1,296
seal,1,297
scream,1,298
scratch,1,299
fork,1,300
gain,1,301
s,1,302
game,1,303
gas,1,304
ge,1,305
shovel,1,306