,Tn,Tr,Tr<Tn
Adam,12.7801449,50.41235875,FALSE
Eve,13.1632414,24.17084017,FALSE
Sarah,17.01584264,36.9551952,FALSE
Peter,17.97763819,56.96965177,FALSE
Naomi,12.88850241,30.2066529,FALSE
Allison,13.72004197,24.07121556,FALSE
April,13.92548425,14.14876938,FALSE
Fraser,8.939090497,62.20137778,FALSE
Adam's input,15.11858309,54.87670328,FALSE
Eve's input,12.25442397,33.74782177,FALSE
Sarah's input,16.9884178,53.24695608,FALSE
Peter's input,15.3815932,72.54489846,FALSE
Naomi's input,18.74896725,41.02757239,FALSE
Allison's input,14.10045595,31.69341722,FALSE
April's input,14.02243362,25.7189689,FALSE
Fraser's input,7.136552551,81.18223012,FALSE