,Sn,Se,e,N,Tn,Tr,Tr<Tn
Adam,6747,4189,64,306,33.8,61.02,FALSE
Eve,564,379,39,93,17.51,30.65,FALSE
Sarah,1759,1151,53,189,25.65,47.42,FALSE
Peter,7532,3997,67,424,43.82,64.8,FALSE
Naomi,1240,744,42,128,19.63,36.38,FALSE
Allison,612,364,39,88,18.24,30.41,FALSE
April,128,87,23,50,14.64,19.65,FALSE
Fraser,13924,9899,73,371,26.34,65.88,FALSE
Adam's input,4670,3120,71,297,35.27,66.2,FALSE
Eve's input,1618,1120,54,138,21.17,42.52,FALSE
Sarah's input,3867,2655,72,293,33.37,65.27,FALSE
Peter's input,15573,9463,81,633,47.19,81.62,FALSE
Naomi's input,1463,978,57,174,27.12,48.73,FALSE
Allison's input,1453,1000,46,140,21.32,39.24,FALSE
April's input,658,474,40,100,19.09,33.81,FALSE
Fraser's input,32359,23599,89,581,30.8,83.81,FALSE