,N,alpha,e,beta
Adam,306,1.517871922,64,1.568921799
Eve,93,1.192508901,39,1.42377934
Sarah,189,1.300662851,53,1.537537531
Peter,424,1.457659171,67,1.874865103
Naomi,128,1.314024485,42,1.47989209
Allison,88,1.145963993,39,1.253886866
April,50,0.810882513,23,0.93078929
Fraser,371,1.674102137,73,1.998756105
Adam's input,297,1.451759591,71,1.519587842
Eve's input,138,1.359753172,54,1.508339557
Sarah's input,293,1.406598432,72,1.70885729
Peter's input,633,1.567386455,81,1.924982615
Naomi's input,174,1.233804683,57,1.448621325
Allison's input,140,1.29833834,46,1.561862157
April's input,100,1.185727265,40,1.22852056
Fraser's input,581,1.801144931,89,2.161413183